Reference,Type,Amount_USD,Date,Paid Status,Market,Production Deposit,Class,Supplier,Direct to Client?,Month,Amount GBP,UK Deposit Ref
"PO-34CAXR1",Deposit,23368.54,2022-10-31,TRUE,"CA","P34-UK-XR",committed,"XR Textile",FALSE,Oct-22,17439.21,"34"
"PO-34USJM1",Deposit,1788.50,2022-10-31,TRUE,"US","P34-UK-JM",committed,"Jinma (Merry)",FALSE,Oct-22,1334.70,"34"
"PO-34AUXR1",Deposit,5266.62,2022-11-01,TRUE,"AU","P34-AU-XR",committed,"XR Textile",FALSE,Nov-22,3930.31,"34"
"PO-34CABE1",Deposit,1165.92,2022-11-01,TRUE,"CA","P34-UK-BE",committed,"Bright Eagle (Rebecca)",FALSE,Nov-22,870.09,"34"
"PO-34EUBE1",Deposit,1897.92,2022-11-01,TRUE,"EU","P34-UK-BE",committed,"Bright Eagle (Rebecca)",FALSE,Nov-22,1416.36,"34"
"PO-34EUXR1",Deposit,27621.65,2022-11-01,TRUE,"EU","P34-UK-XR",committed,"XR Textile",FALSE,Nov-22,20613.17,"34"
"PO-34UKBE1",Deposit,5568.84,2022-11-01,TRUE,"UK","P34-UK-BE",committed,"Bright Eagle (Rebecca)",FALSE,Nov-22,4155.85,"34"
"PO-34USBE1",Deposit,4557.32,2022-11-01,TRUE,"US","P34-UK-BE",committed,"Bright Eagle (Rebecca)",FALSE,Nov-22,3400.99,"34"
"PO-34USXR1",Deposit,44746.47,2022-11-01,TRUE,"US","P34-UK-XR",committed,"XR Textile",FALSE,Nov-22,33392.89,"34"
"PO-470056",Deposit,4570.32,2022-11-01,FALSE,"AU","P34-AU-XR",committed,"XR Textile",TRUE,Nov-22,3410.69,"34"
"PO-34USXR2",Deposit,43721.17,2022-11-03,TRUE,"US","P34-UK-XR",committed,"XR Textile",FALSE,Nov-22,32627.74,"34"
"PO-34AUXR2",Deposit,402.79,2022-11-04,TRUE,"AU","P34-AU-XR",committed,"XR Textile",FALSE,Nov-22,300.59,"34"
"PO-465185",Deposit,9091.58,2022-11-08,FALSE,"OT","P35-UK-XR",committed,"XR Textile",TRUE,Nov-22,6784.76,"35"
"PO-34UKXR1",Deposit,24980.52,2022-11-11,TRUE,"UK","P34-UK-XR",committed,"XR Textile",FALSE,Nov-22,18642.18,"34"
"PO-34UKXR2",Deposit,71658.44,2022-11-11,TRUE,"UK","P34-UK-XR",committed,"XR Textile",FALSE,Nov-22,53476.45,"34"
"PO-555273",Deposit,23.58,2022-11-16,FALSE,"US","P35-AU-XR",committed,"XR Textile",FALSE,Nov-22,17.60,"35"
"PO-34EUJM1",Deposit,1358.40,2022-11-30,TRUE,"EU","P34-UK-JM",committed,"Jinma (Merry)",FALSE,Nov-22,1013.73,"34"
"PO-466515",Deposit,398.34,2022-12-01,TRUE,"OT","P35-UK-XR",committed,"XR Textile",TRUE,Dec-22,297.27,"35"
"PO-466517",Deposit,126.54,2022-12-01,TRUE,"OT","P35-UK-XR",committed,"XR Textile",TRUE,Dec-22,94.43,"35"
"PO-35EUXR1",Deposit,778.22,2022-12-12,TRUE,"EU","P35-UK-XR",committed,"XR Textile",FALSE,Dec-22,580.76,"35"
"PO-35USXR1",Deposit,35885.69,2022-12-12,TRUE,"US","P35-UK-XR",committed,"XR Textile",FALSE,Dec-22,26780.37,"35"
"PO-461395",Deposit,3590.62,2022-12-12,TRUE,"OT","P35-UK-XR",committed,"XR Textile",TRUE,Dec-22,2679.57,"35"
"PO-465723",Deposit,11831.59,2022-12-12,TRUE,"OT","P35-UK-XR",committed,"XR Textile",TRUE,Dec-22,8829.54,"35"
"PO-465726",Deposit,1704.42,2022-12-12,TRUE,"OT","P35-UK-XR",committed,"XR Textile",FALSE,Dec-22,1271.96,"35"
"PO-466537",Deposit,1054.23,2022-12-12,TRUE,"OT","P35-UK-XR",committed,"XR Textile",TRUE,Dec-22,786.74,"35"
"PO-466538",Deposit,742.20,2022-12-12,TRUE,"OT","P35-UK-XR",committed,"XR Textile",TRUE,Dec-22,553.88,"35"
"PO-513888",Deposit,2826.46,2022-12-12,TRUE,"OT","P35-UK-XR",committed,"XR Textile",TRUE,Dec-22,2109.30,"35"
"PO-35AUXR2",Deposit,1443.39,2022-12-16,TRUE,"AU","P35-AU-XR-v2",committed,"XR Textile",FALSE,Dec-22,1077.16,"35"
"PO-35UKXR1",Deposit,16327.56,2022-12-16,TRUE,"UK","P35-UK-XR",committed,"XR Textile",FALSE,Dec-22,12184.75,"35"
"PO-484213",Deposit,1257.21,2022-12-16,TRUE,"OT","P35-UK-XR-v2",committed,"XR Textile",TRUE,Dec-22,938.22,"35"
"PO-484216",Deposit,4826.49,2022-12-16,TRUE,"OT","P35-UK-XR-v2",committed,"XR Textile",TRUE,Dec-22,3601.86,"35"
"PO-484218",Deposit,5512.70,2022-12-16,TRUE,"OT","P35-UK-XR-v2",committed,"XR Textile",TRUE,Dec-22,4113.96,"35"
"PO-484221",Deposit,4802.82,2022-12-16,TRUE,"OT","P35-UK-XR-v2",committed,"XR Textile",TRUE,Dec-22,3584.19,"35"
"PO-35AUXR1",Deposit,8902.94,2022-12-19,TRUE,"AU","P35-AU-XR-v2",committed,"XR Textile",FALSE,Dec-22,6643.99,"35"
"PO-36AUXR1",Deposit,70.92,2022-12-29,FALSE,"AU","",committed,"XR Textile",FALSE,Dec-22,52.93,""
"PO-35USXR2",Deposit,24684.48,2022-12-30,TRUE,"US","P35-UK-XR",committed,"XR Textile",FALSE,Dec-22,18421.25,"35"
"PO-465164",Deposit,2778.12,2023-01-05,TRUE,"OT","P35-UK-XR",committed,"XR Textile",TRUE,Jan-23,2073.22,"35"
"PO-485942",Deposit,11496.78,2023-01-06,TRUE,"AU","P35-AU-XR",committed,"XR Textile",TRUE,Jan-23,8579.69,"35"
"PO-586284",Deposit,972.84,2023-01-08,FALSE,"OT","",committed,"XR Textile",TRUE,Jan-23,726.00,""
"PO-35UKMQ2",Deposit,766.50,2023-01-10,TRUE,"UK","P35-UK-MQ",committed,"MQ Print (Sherry)",FALSE,Jan-23,572.01,"35"
"PO-465166",Deposit,553.09,2023-01-12,TRUE,"OT","P35-UK-XR-v2",committed,"XR Textile",TRUE,Jan-23,412.75,"35"
"PO-465166-LCL",Deposit,2611.29,2023-01-12,TRUE,"OT","P35-UK-XR",committed,"XR Textile",TRUE,Jan-23,1948.72,"35"
"PO-35EUJM1",Deposit,239.75,2023-02-10,TRUE,"EU","P35-UK-JM",committed,"Jinma (Merry)",FALSE,Feb-23,178.92,"35"
"PO-35USJM1",Deposit,770.00,2023-02-10,TRUE,"US","P35-UK-JM",committed,"Jinma (Merry)",FALSE,Feb-23,574.63,"35"
"PO-465165",Deposit,1271.15,2023-02-10,TRUE,"OT","P35-UK-JM",committed,"Jinma (Merry)",TRUE,Feb-23,948.62,"35"
"PO-465725",Deposit,424.20,2023-02-10,TRUE,"OT","P35-UK-JM",committed,"Jinma (Merry)",TRUE,Feb-23,316.57,"35"
"PO-466518",Deposit,94.50,2023-02-10,TRUE,"OT","P35-UK-JM",committed,"Jinma (Merry)",TRUE,Feb-23,70.52,"35"
"PO-36UKXR3",Deposit,42295.44,2023-03-03,TRUE,"UK","P36-UK-XR",committed,"XR Textile",FALSE,Mar-23,31563.76,"36"
"PO-36USXR1",Deposit,34396.62,2023-03-03,TRUE,"US","P36-UK-XR",committed,"XR Textile",FALSE,Mar-23,25669.12,"36"
"PO-36UKXR5",Deposit,45981.42,2023-03-08,TRUE,"UK","P36-UK-XR-v2",committed,"XR Textile",FALSE,Mar-23,34314.49,"36"
"PO-36USXR3",Deposit,40252.56,2023-03-08,TRUE,"US","P36-UK-XR",committed,"XR Textile",FALSE,Mar-23,30039.22,"36"
"PO-36USXR4",Deposit,19563.24,2023-03-08,TRUE,"US","P36-UK-XR",committed,"XR Textile",FALSE,Mar-23,14599.43,"36"
"PO-587869A",Deposit,9128.16,2023-03-09,FALSE,"AU","",committed,"XR Textile",TRUE,Mar-23,6812.06,""
"PO-36UKXR1",Deposit,40303.98,2023-03-16,TRUE,"UK","P36-UK-XR",committed,"XR Textile",FALSE,Mar-23,30077.60,"36"
"PO-36UKXR4",Deposit,29385.00,2023-03-16,TRUE,"UK","P36-UK-XR",committed,"XR Textile",FALSE,Mar-23,21929.10,"36"
"PO-36USXR6A",Deposit,5096.69,2023-03-16,TRUE,"US","P36-UK-XR",committed,"XR Textile",FALSE,Mar-23,3803.50,"36"
"PO-578325",Deposit,1440.42,2023-03-24,TRUE,"OT","P37-UK-XR",committed,"XR Textile",TRUE,Mar-23,1074.94,"37"
"PO-36UKXR2",Deposit,34113.93,2023-03-28,TRUE,"UK","P36-UK-XR",committed,"XR Textile",FALSE,Mar-23,25458.16,"36"
"PO-36USXR2",Deposit,22535.68,2023-03-28,TRUE,"US","P36-UK-XR-v2",committed,"XR Textile",FALSE,Mar-23,16817.67,"36"
"PO-37UKMQ1",Deposit,6211.20,2023-04-01,TRUE,"UK","P37-UK-MQ",committed,"MQ Print (Sherry)",FALSE,Apr-23,4635.22,"37"
"PO-36EUXR1",Deposit,1695.85,2023-04-04,TRUE,"EU","P36-UK-XR",committed,"XR Textile",FALSE,Apr-23,1265.56,"36"
"PO-36USXR5",Deposit,2896.69,2023-04-11,TRUE,"US","P36-UK-XR",committed,"XR Textile",FALSE,Apr-23,2161.71,"36"
"PO-36UKXR6",Deposit,249.90,2023-04-12,TRUE,"UK","P36-UK-XR-v2",committed,"XR Textile",FALSE,Apr-23,186.49,"36"
"PO-581551",Deposit,441.18,2023-04-12,TRUE,"OT","P37-UK-XR",committed,"XR Textile",TRUE,Apr-23,329.24,"37"
"PO-37AUXR3",Deposit,445.32,2023-04-20,TRUE,"AU","P37-AU-XR",committed,"XR Textile",FALSE,Apr-23,332.33,"37"
"PO-37UKJM1A",Deposit,756.00,2023-04-20,TRUE,"UK","P37-UK-JM",committed,"Jinma (Merry)",FALSE,Apr-23,564.18,"37"
"PO-37EUJM1",Deposit,470.75,2023-04-29,TRUE,"EU","P37-UK-JM",committed,"Jinma (Merry)",FALSE,Apr-23,351.31,"37"
"PO-37UKJM1",Deposit,1027.25,2023-04-29,TRUE,"UK","P37-UK-JM",committed,"Jinma (Merry)",FALSE,Apr-23,766.60,"37"
"PO-37UKXR1",Deposit,37423.63,2023-04-29,TRUE,"UK","P37-UK-XR",committed,"XR Textile",FALSE,Apr-23,27928.08,"37"
"PO-37UKXR2",Deposit,18633.36,2023-04-29,TRUE,"UK","P37-UK-XR",committed,"XR Textile",FALSE,Apr-23,13905.49,"37"
"PO-37USXR1",Deposit,38383.27,2023-04-29,TRUE,"US","P37-UK-XR",committed,"XR Textile",FALSE,Apr-23,28644.23,"37"
"PO-633012A",Deposit,154.85,2023-04-29,TRUE,"OT","P38-UK-XR-v2",committed,"XR Textile",TRUE,Apr-23,115.56,"38"
"PO-37AUXR1",Deposit,42946.97,2023-05-03,TRUE,"AU","P37-AU-XR",committed,"XR Textile",FALSE,May-23,32049.98,"37"
"PO-38EUXR1",Deposit,29797.09,2023-05-08,FALSE,"EU","",committed,"XR Textile",FALSE,May-23,22236.63,""
"PO-37USJM1",Deposit,1046.50,2023-05-09,TRUE,"US","P37-UK-JM",committed,"Jinma (Merry)",FALSE,May-23,780.97,"37"
"PO-37USJM1A",Deposit,1018.55,2023-05-09,TRUE,"US","P37-UK-JM",committed,"Jinma (Merry)",FALSE,May-23,760.11,"37"
"PO-37USXR2",Deposit,19376.32,2023-05-09,TRUE,"US","P37-UK-XR",committed,"XR Textile",FALSE,May-23,14459.94,"37"
"PO-620789",Deposit,21.95,2023-05-09,TRUE,"OT","P37-UK-JM",committed,"Jinma (Merry)",TRUE,May-23,16.38,"37"
"PO-37AUXR4",Deposit,713.52,2023-05-10,TRUE,"AU","P37-AU-XR",committed,"XR Textile",FALSE,May-23,532.48,"37"
"PO-38UKXR2",Deposit,41406.49,2023-05-10,TRUE,"UK","P38-UK-XR-v2",committed,"XR Textile",FALSE,May-23,30900.37,"38"
"PO-38UKXR3",Deposit,39447.54,2023-05-10,TRUE,"UK","P38-UK-XR-v4",committed,"XR Textile",FALSE,May-23,29438.46,"38"
"PO-38USXR2",Deposit,42336.60,2023-05-10,TRUE,"US","P38-UK-XR",committed,"XR Textile",FALSE,May-23,31594.48,"38"
"PO-38USXR3",Deposit,42336.60,2023-05-10,TRUE,"US","P38-UK-XR",committed,"XR Textile",FALSE,May-23,31594.48,"38"
"PO-607184A",Deposit,268.86,2023-05-10,TRUE,"OT","P38-UK-XR",committed,"XR Textile",TRUE,May-23,200.64,"38"
"PO-37AUXR2",Deposit,9128.16,2023-05-19,TRUE,"AU","P37-AU-XR-v2",committed,"XR Textile",FALSE,May-23,6812.06,"37"
"PO-607173",Deposit,6283.89,2023-05-19,TRUE,"OT","P38-UK-XR",committed,"XR Textile",TRUE,May-23,4689.47,"38"
"PO-643793",Deposit,1154.70,2023-05-19,TRUE,"US","P38-UK-XR",committed,"XR Textile",FALSE,May-23,861.72,"38"
"PO-562700",Deposit,4293.00,2023-05-22,TRUE,"OT","P37-UK-FY",committed,"Shaoxing Fengying (Belinda)",TRUE,May-23,3203.73,"37"
"PO-37EUXR1",Deposit,18645.42,2023-05-23,TRUE,"EU","P37-UK-XR",committed,"XR Textile",FALSE,May-23,13914.49,"37"
"PO-658213",Deposit,43.04,2023-05-30,FALSE,"OT","P38-UK-XR-v4",committed,"XR Textile",TRUE,May-23,32.12,"38"
"PO-658215",Deposit,45.90,2023-05-30,FALSE,"OT","P38-UK-XR-v4",committed,"XR Textile",TRUE,May-23,34.25,"38"
"PO-658220",Deposit,45.90,2023-05-30,FALSE,"OT","P38-UK-XR-v4",committed,"XR Textile",TRUE,May-23,34.25,"38"
"PO-658221",Deposit,45.90,2023-05-30,FALSE,"OT","P38-UK-XR-v4",committed,"XR Textile",TRUE,May-23,34.25,"38"
"PO-669591",Deposit,45.43,2023-05-30,FALSE,"OT","P38-UK-XR-v4",committed,"XR Textile",TRUE,May-23,33.90,"38"
"PO-642636",Deposit,702.21,2023-05-31,TRUE,"OT","P38-UK-XR",committed,"XR Textile",TRUE,May-23,524.04,"38"
"PO-38CAJM1",Deposit,994.00,2023-06-19,TRUE,"CA","P38-UK-JM",committed,"Jinma (Merry)",FALSE,Jun-23,741.79,"38"
"PO-38EUJM1",Deposit,745.50,2023-06-19,TRUE,"EU","P38-UK-JM",committed,"Jinma (Merry)",FALSE,Jun-23,556.34,"38"
"PO-38UKJM1",Deposit,1549.75,2023-06-19,TRUE,"UK","P38-UK-JM",committed,"Jinma (Merry)",FALSE,Jun-23,1156.53,"38"
"PO-38UKJM2",Deposit,2590.00,2023-06-19,TRUE,"UK","P38-UK-JM",committed,"Jinma (Merry)",FALSE,Jun-23,1932.84,"38"
"PO-38USJM1",Deposit,5880.00,2023-06-19,TRUE,"US","P38-UK-JM",committed,"Jinma (Merry)",FALSE,Jun-23,4388.06,"38"
"PO-38UKXR7",Deposit,1824.77,2023-06-21,TRUE,"UK","P38-UK-XR-v4",committed,"XR Textile",FALSE,Jun-23,1361.77,"38"
"PO-39CAXR0",Deposit,2506.51,2023-06-22,FALSE,"US","",committed,"XR Textile",FALSE,Jun-23,1870.53,""
"PO-39EUXR0",Deposit,2477.20,2023-06-22,FALSE,"US","",committed,"XR Textile",FALSE,Jun-23,1848.66,""
"PO-39OTXR01",Deposit,82.47,2023-06-22,FALSE,"OT","",committed,"XR Textile",TRUE,Jun-23,61.54,""
"PO-39OTXR02",Deposit,82.47,2023-06-22,FALSE,"OT","",committed,"XR Textile",TRUE,Jun-23,61.54,""
"PO-39OTXR03",Deposit,82.47,2023-06-22,FALSE,"OT","",committed,"XR Textile",TRUE,Jun-23,61.54,""
"PO-39UKXR0",Deposit,1991.71,2023-06-22,FALSE,"US","",committed,"XR Textile",FALSE,Jun-23,1486.35,""
"PO-39USXR0",Deposit,6831.74,2023-06-22,FALSE,"US","",committed,"XR Textile",FALSE,Jun-23,5098.31,""
"PO-39USXR01",Deposit,7054.38,2023-06-22,FALSE,"US","",committed,"XR Textile",FALSE,Jun-23,5264.46,""
"PO-693410",Deposit,45.43,2023-06-23,FALSE,"OT","P38-UK-XR-v4",committed,"XR Textile",TRUE,Jun-23,33.90,"38"
"PO-38UKXR6",Deposit,18438.66,2023-06-26,TRUE,"UK","P38-UK-XR-v3",committed,"XR Textile",FALSE,Jun-23,13760.19,"38"
"PO-636886",Deposit,1086.40,2023-07-01,TRUE,"UK","P37-UK-MQ-v2",committed,"MQ Print (Sherry)",FALSE,Jul-23,810.75,"37"
"PO-38AUXR1",Deposit,41475.11,2023-07-04,TRUE,"AU","P38-AU-XR",committed,"XR Textile",FALSE,Jul-23,30951.57,"38"
"PO-38AUXR2",Deposit,40162.97,2023-07-04,TRUE,"AU","P38-AU-XR",committed,"XR Textile",FALSE,Jul-23,29972.37,"38"
"PO-38UKXR1",Deposit,21699.95,2023-07-04,TRUE,"UK","P38-UK-XR-v4",committed,"XR Textile",FALSE,Jul-23,16193.99,"38"
"PO-38UKXR4",Deposit,63391.82,2023-07-04,TRUE,"UK","P38-UK-XR-v4",committed,"XR Textile",FALSE,Jul-23,47307.33,"38"
"PO-38UKXR5",Deposit,2910.00,2023-07-04,TRUE,"UK","P38-UK-XR-v4",committed,"XR Textile",FALSE,Jul-23,2171.64,"38"
"PO-621112A",Deposit,20725.92,2023-07-04,TRUE,"UK","P38-UK-XR-v4",committed,"XR Textile",FALSE,Jul-23,15467.10,"38"
"PO-672606",Deposit,10993.00,2023-07-04,TRUE,"OT","P38-UK-XR",committed,"XR Textile",TRUE,Jul-23,8203.73,"38"
"PO-691246",Deposit,842.18,2023-07-04,TRUE,"OT","P38-UK-XR",committed,"XR Textile",TRUE,Jul-23,628.49,"38"
"PO-37EUBE1",Deposit,500.00,2023-07-07,TRUE,"EU","P37-UK-BE",committed,"Bright Eagle (Rebecca)",FALSE,Jul-23,373.13,"37"
"PO-720098",Deposit,784.88,2023-07-10,FALSE,"OT","",committed,"XR Textile",TRUE,Jul-23,585.73,""
"PO-37UKBE1",Deposit,10099.80,2023-07-11,TRUE,"UK","P37-UK-BE",committed,"Bright Eagle (Rebecca)",FALSE,Jul-23,7537.16,"37"
"PO-37USBE1",Deposit,15061.81,2023-07-11,TRUE,"US","P37-UK-BE",committed,"Bright Eagle (Rebecca)",FALSE,Jul-23,11240.16,"37"
"PO-38USXR1",Deposit,41151.26,2023-07-11,TRUE,"US","P38-UK-XR-v5",committed,"XR Textile",FALSE,Jul-23,30709.90,"38"
"PO-604054",Deposit,5677.39,2023-07-11,TRUE,"OT","P38-UK-AA",committed,"Adastra",FALSE,Jul-23,4236.86,"38"
"PO-38CAXR1",Deposit,58848.74,2023-07-12,TRUE,"CA","P38-UK-XR-v5",committed,"XR Textile",FALSE,Jul-23,43916.97,"38"
"PO-38USXR5",Deposit,2910.00,2023-07-13,TRUE,"US","P38-UK-XR",committed,"XR Textile",FALSE,Jul-23,2171.64,"38"
"PO-720696",Deposit,7607.64,2023-07-13,FALSE,"OT","",committed,"XR Textile",TRUE,Jul-23,5677.34,""
"PO-731002",Deposit,976.50,2023-07-20,FALSE,"OT","",committed,"XR Textile",TRUE,Jul-23,728.73,""
"PO-671006",Deposit,21849.00,2023-07-25,TRUE,"AU","P38-AU-XR-v2",committed,"XR Textile",TRUE,Jul-23,16305.22,"38"
"PO-39UKXR2",Deposit,4879.71,2023-08-08,TRUE,"UK","P39-UK-XR",committed,"XR Textile",FALSE,Aug-23,3641.57,"39"
"PO-39UKXR3",Deposit,14522.64,2023-08-08,TRUE,"UK","P39-UK-XR",committed,"XR Textile",FALSE,Aug-23,10837.79,"39"
"PO-763226",Deposit,41.86,2023-08-14,FALSE,"OT","",committed,"XR Textile",TRUE,Aug-23,31.24,""
"PO-779055",Deposit,167.40,2023-08-18,FALSE,"OT","",committed,"XR Textile",TRUE,Aug-23,124.93,""
"PO-758653",Deposit,725.22,2023-08-21,TRUE,"OT","P39-UK-XR",committed,"XR Textile",TRUE,Aug-23,541.21,"39"
"PO-751824A",Deposit,11628.00,2023-08-22,TRUE,"AU","P39-AU-XR",committed,"XR Textile",TRUE,Aug-23,8677.61,"39"
"PO-773426",Deposit,0.00,2023-08-23,FALSE,"AU","P39-AU-XR",committed,"XR Textile",TRUE,Aug-23,0.00,"39"
"PO-39UKJM2",Deposit,844.20,2023-08-29,TRUE,"UK","P39-UK-JM",committed,"Jinma (Merry)",FALSE,Aug-23,630.00,"39"
"PO-775466",Deposit,1306.60,2023-08-29,TRUE,"OT","P39-UK-XR",committed,"XR Textile",TRUE,Aug-23,975.07,"39"
"PO-39UKMQ1",Deposit,6456.31,2023-08-31,TRUE,"UK","P39-UK-MQ",committed,"MQ Print (Sherry)",FALSE,Aug-23,4818.14,"39"
"PO-780992",Deposit,41.86,2023-08-31,FALSE,"OT","",committed,"XR Textile",TRUE,Aug-23,31.24,""
"PO-39UKXR5",Deposit,0.00,2023-09-08,FALSE,"UK","",committed,"XR Textile",FALSE,Sep-23,0.00,""
"PO-39UKXR1",Deposit,6707.26,2023-09-11,TRUE,"UK","P39-UK-XR",committed,"XR Textile",FALSE,Sep-23,5005.42,"39"
"PO-39EUXR1",Deposit,3401.28,2023-09-14,TRUE,"EU","P39-UK-XR",committed,"XR Textile",FALSE,Sep-23,2538.27,"39"
"PO-777930",Deposit,3822.30,2023-09-14,TRUE,"OT","P39-UK-XR",committed,"XR Textile",TRUE,Sep-23,2852.46,"39"
"PO-777933B",Deposit,3627.00,2023-09-14,TRUE,"OT","P39-UK-XR",committed,"XR Textile",TRUE,Sep-23,2706.72,"39"
"PO-777937",Deposit,678.90,2023-09-14,TRUE,"OT","P39-UK-XR",committed,"XR Textile",TRUE,Sep-23,506.64,"39"
"PO-777947",Deposit,1236.90,2023-09-14,TRUE,"OT","P39-UK-XR",committed,"XR Textile",TRUE,Sep-23,923.06,"39"
"PO-777956",Deposit,669.60,2023-09-14,TRUE,"OT","P39-UK-XR",committed,"XR Textile",TRUE,Sep-23,499.70,"39"
"PO-777959",Deposit,1329.90,2023-09-14,TRUE,"OT","P39-UK-XR",committed,"XR Textile",TRUE,Sep-23,992.46,"39"
"PO-39EUJM1",Deposit,3192.00,2023-09-15,TRUE,"EU","P39-UK-JM",committed,"Jinma (Merry)",FALSE,Sep-23,2382.09,"39"
"PO-39UKJM1",Deposit,8918.00,2023-09-15,TRUE,"UK","P39-UK-JM",committed,"Jinma (Merry)",FALSE,Sep-23,6655.22,"39"
"PO-39UKJM3",Deposit,2991.80,2023-09-15,TRUE,"UK","P39-UK-JM",committed,"Jinma (Merry)",FALSE,Sep-23,2232.69,"39"
"PO-39USJM1",Deposit,7112.00,2023-09-15,TRUE,"US","P39-UK-JM",committed,"Jinma (Merry)",FALSE,Sep-23,5307.46,"39"
"PO-39AUXR1",Deposit,9724.80,2023-09-20,TRUE,"AU","P39-AU-XR",committed,"XR Textile",FALSE,Sep-23,7257.31,"39"
"PO-742095",Deposit,332.31,2023-09-20,TRUE,"OT","P39-UK-XR",committed,"XR Textile",TRUE,Sep-23,247.99,"39"
"PO-39UKXR4",Deposit,106.38,2023-09-22,FALSE,"UK","",committed,"XR Textile",FALSE,Sep-23,79.39,""
"PO-39USXR1",Deposit,1141.99,2023-09-22,TRUE,"US","P39-UK-XR",committed,"XR Textile",FALSE,Sep-23,852.23,"39"
"PO-798734",Deposit,80.72,2023-09-22,FALSE,"OT","P40-UK-XR1",committed,"XR Textile",TRUE,Sep-23,60.24,"40"
"PO-820466",Deposit,681.00,2023-09-22,FALSE,"AU","",committed,"XR Textile",TRUE,Sep-23,508.21,""
"PO-800942",Deposit,0.00,2023-09-26,FALSE,"OT","P40-UK-XR2",committed,"XR Textile",TRUE,Sep-23,0.00,"40"
"PO-883598",Deposit,155.39,2023-10-09,FALSE,"AU","",committed,"XR Textile",FALSE,Oct-23,115.96,""
"PO-808456",Deposit,0.00,2023-10-16,FALSE,"OT","",committed,"XR Textile",TRUE,Oct-23,0.00,""
"PO-808464",Deposit,0.00,2023-10-16,FALSE,"OT","",committed,"XR Textile",TRUE,Oct-23,0.00,""
"PO-40UKXR5",Deposit,1004.85,2023-10-25,TRUE,"UK","P40-UK-XR1",committed,"XR Textile",FALSE,Oct-23,749.89,"40"
"PO-40DBXR1",Deposit,0.00,2023-10-31,FALSE,"AU","",committed,"XR Textile",TRUE,Oct-23,0.00,""
"PO-604054A",Deposit,5677.39,2023-10-31,TRUE,"OT","P38-UK-AA",committed,"Adastra",FALSE,Oct-23,4236.86,"38"
"PO-788933",Deposit,4752.15,2023-10-31,TRUE,"OT","P40-UK-XR2",committed,"XR Textile",TRUE,Oct-23,3546.38,"40"
"PO-40UKXR1",Deposit,29305.86,2023-11-21,TRUE,"UK","P40-UK-XR1",committed,"XR Textile",FALSE,Nov-23,21870.04,"40"
"PO-40USXR4",Deposit,2789.73,2023-11-21,TRUE,"US","P40-UK-XR1",committed,"XR Textile",FALSE,Nov-23,2081.89,"40"
"PO-40USXR1",Deposit,46686.67,2023-11-22,TRUE,"US","P40-UK-XR1",committed,"XR Textile",FALSE,Nov-23,34840.80,"40"
"PO-40EUJM1",Deposit,630.00,2023-11-23,TRUE,"EU","P40-UK-JM",committed,"Jinma (Merry)",FALSE,Nov-23,470.15,"40"
"PO-40UKJM1",Deposit,1785.00,2023-11-23,TRUE,"UK","P40-UK-JM",committed,"Jinma (Merry)",FALSE,Nov-23,1332.09,"40"
"PO-779966",Deposit,30.10,2023-11-23,TRUE,"OT","P40-UK-JM",committed,"Jinma (Merry)",TRUE,Nov-23,22.46,"40"
"PO-779970",Deposit,316.05,2023-11-23,TRUE,"OT","P40-UK-JM",committed,"Jinma (Merry)",TRUE,Nov-23,235.86,"40"
"PO-788934",Deposit,210.00,2023-11-23,TRUE,"OT","P40-UK-JM",committed,"Jinma (Merry)",TRUE,Nov-23,156.72,"40"
"PO-788956",Deposit,105.00,2023-11-23,TRUE,"OT","P40-UK-JM",committed,"Jinma (Merry)",TRUE,Nov-23,78.36,"40"
"PO-788966",Deposit,210.00,2023-11-23,TRUE,"OT","P40-UK-JM",committed,"Jinma (Merry)",TRUE,Nov-23,156.72,"40"
"PO-40UKXR2",Deposit,40013.94,2023-11-27,TRUE,"UK","P40-UK-XR1",committed,"XR Textile",FALSE,Nov-23,29861.15,"40"
"PO-40USXR2",Deposit,11673.54,2023-11-27,TRUE,"US","P40-UK-XR1",committed,"XR Textile",FALSE,Nov-23,8711.60,"40"
"PO-779959",Deposit,583.80,2023-11-27,TRUE,"OT","P40-UK-XR2",committed,"XR Textile",TRUE,Nov-23,435.67,"40"
"PO-788950",Deposit,3775.20,2023-11-27,TRUE,"OT","P40-UK-XR2",committed,"XR Textile",TRUE,Nov-23,2817.31,"40"
"PO-788965",Deposit,3221.61,2023-11-27,TRUE,"OT","P40-UK-XR2",committed,"XR Textile",TRUE,Nov-23,2404.19,"40"
"PO-788968",Deposit,2399.52,2023-11-27,TRUE,"OT","P40-UK-XR2",committed,"XR Textile",TRUE,Nov-23,1790.69,"40"
"PO-779961",Deposit,2018.94,2023-11-28,TRUE,"OT","P40-UK-XR2",committed,"XR Textile",TRUE,Nov-23,1506.67,"40"
"PO-779967",Deposit,814.38,2023-11-28,TRUE,"OT","P40-UK-XR2",committed,"XR Textile",TRUE,Nov-23,607.75,"40"
"PO-779968",Deposit,2329.32,2023-11-28,TRUE,"OT","P40-UK-XR2",committed,"XR Textile",TRUE,Nov-23,1738.30,"40"
"PO-779969",Deposit,6204.66,2023-11-28,TRUE,"OT","P40-UK-XR2",committed,"XR Textile",TRUE,Nov-23,4630.34,"40"
