PO,Supplier,Status,progress,ship_status,Start date,End date,prod_end_src,Ship date,ship_src,Delivery date,delivery_src,Completion date,delivery_master_po,end_override,ship_override,delivery_override,is_master,flexport_reference,flex_id,Value (est),value_from_lines,final_invoice,is_final,Value,start_pct,completion_pct,balance_pct,start_dep,completion,balance_owing,credit_amount,start_calc,start_assigned,Deposit paid date,completion_calc,completion_assigned,Completion payment date,balance_1_amount,balance_1_date,balance_2_amount,balance_2_date,catch_up,deposit_avail,deposit_fx,notes,start_due,completion_due,balance_due,final_payment_due,credit_days,credit_type,Deposit ref,shipment,ship_mode,ship_carrier,ship_carrier_ref,client,client_requirements,sales_order_ref,client_po_ref,client_deadline,asn_numbers,supplier_confirmed,supplier_confirmed_by,approved_lines,dispatch_order_ref,final_delivery_address,crossdock_skus,dtc_custom,dtc_key_account,forwarder_name,forwarder_email,forwarder_phone,pack_polybags,pack_polybags_notes,pack_dnb_barcodes,pack_dnb_barcodes_notes,pack_rfid_barcodes,pack_rfid_barcodes_notes,pack_dnb_carton,pack_dnb_carton_notes,pack_client_carton,pack_client_carton_notes,pack_pallet_notes,pack_other_notes,dtc_accepted_at,dtc_accepted_by,Ship to,country_src,country_override,Branch,erp,Production #,Batch,require_confirmation,starred,erp_pending,erp_in,erp_total,erp_final_delivery,erp_po_id,erp_present,erp_date_pending,production_status,prod_confirmed_age,is_late,unassigned_shipment,payment_overdue,is_production,Pallets,likely_start,likely_completion,likely_balance_1,likely_balance_2,sup_invoice_pending,sup_completion_pending,unread_notes,orderplan_unconfirmed,container_size,est_freight,freight_src,flex_quote,sea_tiers,est_duty,est_tax,tax_pct,landed_total
PO-53UKJM4-JAN,Jinma (Merry),PRODUCTION,in_progress,Planned,2025-12-18,2026-04-25,M,2026-05-02,calc,2026-07-01,calc,2026-07-08,,2026-04-25,,2026-06-17,true,,,0.00,false,,false,0.00,0,0,100,0.00,,,0.00,0.00,,,0,,,,,,,0.00,,,2nd PO for split shipment for PO-53UKJM3-JAN,,,2026-05-02,,60,on_shipment,,PO-53UKJM4-JAN,,,,,,,,,,,,,,,,false,false,,,,true,,true,,false,,true,,false,,,,,,UK,branch,,UK ILG,,54,54.1125,false,false,0,0,0,,,false,0,,,true,false,false,true,,,,,,,,0,0,,,,,"[object Object],[object Object],[object Object]",0.00,0.00,20,0.00
PO-53UKLX3-JAN,Lixin,PRODUCTION,in_progress,Completed,2025-10-01,2026-04-25,M,2026-02-17,S,2026-04-22,S,2026-04-29,PO-54UKLX1-FEB,2026-04-25,,2026-04-22,false,FLEX-3695844,FLEX-3695844,0.00,false,,false,0.00,0,0,100,0.00,,,0.00,0.00,,,0,,,,,,,0.00,0.00,1.33550,Merging with P54. Hold back and ship with the first Feb shipment pre CNY,,,2026-02-17,,90,on_clearance,P53-UK-LX2,PO-54UKLX1-FEB,sea,FLEXPORT,FLEX-3695844,,,,,,,,,,,,,false,false,,,,true,,true,,false,,true,,false,,,,,,UK,branch,,UK ILG,,54,54.1125,false,false,0,0,0,,,false,0,in_production,17,true,false,false,true,,,,,,,,0,0,,4585.98,FLEX,4585.98,"[object Object],[object Object],[object Object]",0.00,917.20,20,5503.18
PO-54UKBE1-FEB,Bright Eagle (Rebecca),PRODUCTION,in_progress,Planned,2025-12-18,2026-06-30,M,2026-07-07,calc,2026-07-14,calc,2026-07-21,,2026-06-30,,2026-06-17,true,,,11760.0000,true,,false,11760.00,0.00,0.00,100.00,0.00,0,11760.00,0.00,0.00,,,0,,,,,,,0.00,,,Ship before CNY,,,2026-07-07,,0,on_shipment,,PO-54UKBE1-FEB,air,,,,,,,,,,,,,,,false,false,,,,true,,true,,false,,true,,false,,,,,,UK,M,UK,UK ILG,PO-54UKBE1-FEB,54,54.1125,false,false,0,5,5,2026-08-27,1613877,true,1,,,true,false,true,true,0.8,,,,,,,0,0,,,,,"[object Object],[object Object],[object Object]",1411.20,2634.24,20,15805.44
PO-54USBE1-FEB,Bright Eagle (Rebecca),PRODUCTION,in_progress,,2025-12-18,2026-06-30,M,2026-07-07,calc,2026-09-05,calc,2026-09-12,,2026-06-30,,2026-06-16,true,,,2508.8000,true,,false,2508.80,0.00,0.00,100.00,0.00,0,2508.80,0.00,0.00,,,0,,,,,,,0.00,,,,,,2026-07-07,,0,on_shipment,,PO-54USBE1-FEB,,,,,,,,,,,,,,,,false,false,,,,true,,true,,false,,true,,false,,,,,,US,M,US,UK ILG,PO-54USBE1-FEB,54,54.1125,false,false,0,4,4,2026-08-26,1613875,true,1,,,false,true,true,true,0.2,,,,,,,0,0,,,,,"[object Object],[object Object],[object Object]",225.79,0.00,0,2734.59
PO-55-OTHER,Weireken,PRODUCTION,in_progress,,2026-03-01,2026-06-30,M,2026-07-07,calc,2026-07-07,calc,2026-07-14,,2026-06-30,,2026-05-03,true,,,,false,,false,0.00,0,0,100,0.00,,,0.00,0.00,,,0,,,,,,,0.00,18425.14,1.33517,giftbox-home - send stock to Rebecca,,,2026-07-07,,30,on_shipment,P55-UK-WK1,PO-55-OTHER,fob,,FOB,,,,,,,,,,,,,false,false,,,,true,,true,,false,,true,,false,,,,,,OT,M,OT,Direct to Client,PO-55-OTHER,55,55.0326,false,false,0,0,0,,,false,0,,,true,false,false,true,,,,,,,,0,0,,,,,,0.00,0.00,,0.00
PO-55AULX1,Lixin,PRODUCTION,in_progress,Completed,2026-03-01,2026-04-30,M,2026-09-06,S,2026-10-04,S,2026-10-11,PO-57AUBL1,2026-04-30,,2026-06-05,false,,FLEX-3865428,20391.4600,true,20156.26,true,20156.26,30.00,20.00,50.00,4246.29,6046.88,9863.09,0.00,6046.88,4246.29,2026-05-22,5831.84,6046.88,2026-06-15,,,,,1800.59,0.00,1.32010,"FLEX-3869302 - Flexport buyers consolidation

Pallet Labels Required

Max Pallet Height 1.5m",2026-03-01,2026-04-30,2026-08-17,2026-08-17,90,on_clearance,P55-AU-LX1,PO-57AUBL1,,,,,,,,,,,,,,,,false,false,,,,true,,true,,false,,true,,false,,,,,,AU,M,AU,AU Coghlans,PO-55AULX1,55,55.0326,false,false,0,38,38,2026-06-25,1637027,true,1,,,false,false,false,true,4.0,,,,,,,0,0,,0.00,FLEX,0.00,"[object Object],[object Object],[object Object]",1019.57,2117.58,10,23293.42
PO-55AUMQ1,MQ Print (Sherry),PRODUCTION,in_progress,Shipping,2026-03-01,2026-06-30,M,2026-07-08,S,2026-08-05,calc,2026-08-12,,2026-06-30,,2026-06-05,true,,,,false,,false,0.00,0,0,100,0.00,,,0.00,0.00,,,0,,,,,,,0.00,,,cancelled as never sent to supplier,,,2026-07-08,,0,on_shipment,,PO-55AUMQ1,,,,,,,,,,,,,,,,false,false,,,,true,,true,,false,,true,,false,,,,,,AU,M,AU,AU Coghlans,PO-55AUMQ1,55,55.0326,false,false,0,0,0,,,false,0,,,false,false,false,true,,,,,,,,0,0,,,,,"[object Object],[object Object],[object Object]",0.00,0.00,10,0.00
PO-55AUWK3,Weireken,PRODUCTION,in_progress,,2026-04-10,2026-06-30,M,2026-07-07,calc,2026-08-27,S,2026-08-27,,2026-06-30,,,true,,,1784.0000,true,,false,1784.00,30.00,0,70.00,535.20,0,1248.80,0.00,535.20,,,0,,,,,,,0.00,11503.80,1.35250,,2026-04-10,,2026-08-06,,30,on_shipment,P55-UK-WK3,PO-55AUWK3,fob,,FOB,,,,,,"ABC1243,ACBT34",,,,,,,false,false,,,,true,,true,,false,,true,,false,,,,,,AU,M,AU,AU Coghlans,PO-55AUWK3,55,55.041,false,false,0,1,1,2026-08-10,1685450,true,1,,,false,true,false,true,0.3,,,,,,,0,0,,,,,"[object Object],[object Object],[object Object]",89.20,187.32,10,2060.52
PO-55EULX-AW26-1,Lixin,PRODUCTION,in_progress,,2026-03-01,2026-06-30,M,2026-07-07,calc,2026-07-14,calc,2026-07-21,,2026-06-30,,,true,,,574.6500,true,,false,574.65,30.00,20.00,50.00,0.00,287.33,287.32,0.00,172.40,,,287.33,,,,,,,172.40,0.00,1.32010,EU samples ship to ILG,2026-03-01,2026-06-30,2026-10-12,,90,on_clearance,P55-UK-LX1,PO-55EULX-AW26-1,air,DHL,AIR,SAMPLES,,,,,,,,,,,,false,false,,,,true,,true,,false,,true,,false,,,,,,EU,M,EU,EU iFulfillment,PO-55EULX-AW26-1,55,55.0326,false,false,0,21,21,2026-07-22,1679069,true,0,,,true,true,true,true,0.1,,,,,,,0,0,,,,,"[object Object],[object Object],[object Object]",68.96,128.72,20,772.33
PO-55EUWK-AW26-1,Weireken,PRODUCTION,in_progress,,2026-03-01,2026-06-30,M,2026-07-07,calc,2026-09-15,calc,2026-09-22,,2026-06-30,,,false,,,38.2000,true,,false,38.20,0,0,100,0.00,0,38.20,0.00,0.00,,,0,,,,,,,0.00,18425.14,1.33517,,,,2026-07-07,,30,on_shipment,P55-UK-WK1,,,,,,,,,,,,,,,,,false,false,,,,true,,true,,false,,true,,false,,,,,,EU,M,EU,EU iFulfillment,PO-55EUWK-AW26-1,55,55.0326,false,false,2,0,2,,,false,0,,,false,true,true,true,0.0,,,,,,,0,0,,,,,"[object Object],[object Object],[object Object]",4.58,8.56,20,51.34
PO-55EUWK3,Weireken,PRODUCTION,in_progress,,2026-04-10,2026-06-30,M,2026-07-07,calc,2026-09-15,calc,2026-09-22,,2026-06-30,,,false,,,1784.0000,true,,false,1784.00,30.00,0,70.00,535.20,0,1248.80,0.00,535.20,,,0,,,,,,,0.00,11503.80,1.35250,Glow Getaway Stock to be sent to Lixin,2026-04-10,,2026-08-06,,30,on_shipment,P55-UK-WK3,,,,,,,,,,,,,,,,,false,false,,,,true,,true,,false,,true,,false,,,,,,EU,M,EU,EU iFulfillment,PO-55EUWK3,55,55.041,false,false,0,5,5,2026-09-13,1685451,true,1,,,false,true,false,true,0.3,,,,,,,0,0,,,,,"[object Object],[object Object],[object Object]",214.08,399.62,20,2397.70
PO-55UKLX-AW26-1,Lixin,PRODUCTION,in_progress,Planned,2026-03-01,2026-06-30,M,2026-07-07,calc,2026-07-14,calc,2026-07-21,,2026-06-30,,,true,,,924.6400,true,,false,924.64,30.00,20.00,50.00,0.00,462.32,462.32,0.00,277.39,,,462.32,,,,,,,277.39,0.00,1.32010,UK samples ship to ILG,2026-03-01,2026-06-30,2026-10-12,,90,on_clearance,P55-UK-LX1,PO-55UKLX-AW26-1,air,DHL,AIR,SAMPLES,,,,,,,,,,,,false,false,,,,true,,true,,false,,true,,false,,,,,,UK,M,UK,UK ILG,PO-55UKLX-AW26-1,55,55.0326,false,false,1,21,22,2026-07-22,1679071,true,0,,,true,false,true,true,0.1,,,,,,,0,0,,,,,"[object Object],[object Object],[object Object]",110.33,206.99,20,1241.97
PO-55UKWK-AW26-1,Weireken,PRODUCTION,in_progress,,2026-03-01,2026-06-30,M,2026-07-07,calc,2026-07-14,calc,2026-07-21,,2026-06-30,,,true,,,61.1200,true,,false,61.12,0,0,100,0.00,0,61.12,0.00,0.00,,,0,,,,,,,0.00,11503.80,1.35250,,,,2026-07-07,,30,on_shipment,P55-UK-WK3,PO-55UKWK-AW26-1,air,DHL,AIR,,,,,,,,,,,,,false,false,,,,true,,true,,false,,true,,false,,,,,,UK,M,UK,UK ILG,PO-55UKWK-AW26-1,55,55.0326,false,false,2,0,2,,,false,0,,,true,true,true,true,0.0,,,,,,,0,0,,,,,"[object Object],[object Object],[object Object]",7.33,13.69,20,82.15
PO-55UKWK-AW26-3,Weireken,PRODUCTION,in_progress,,2026-03-01,2026-06-30,M,2026-07-07,calc,2026-07-14,calc,2026-07-21,,2026-06-30,,,true,,,7.6400,true,,false,7.64,0,0,100,0.00,0,7.64,0.00,0.00,,,0,,,,,,,0.00,18425.14,1.33517,Marketing samples - air freight,,,2026-07-07,,30,on_shipment,P55-UK-WK1,PO-55UKWK-AW26-3,air,DHL,AIR,,,,,,,,,,,,,false,false,,,,true,,true,,false,,true,,false,,,,,,UK,M,UK,UK ILG,PO-55UKWK-AW26-3,55,55.0326,false,false,2,0,2,,,false,0,,,true,true,true,true,0.0,,,,,,,0,0,,,,,"[object Object],[object Object],[object Object]",0.92,1.71,20,10.27
PO-55UKWK1-AIR,Weireken,PRODUCTION,in_progress,,2026-03-01,2026-06-30,M,2026-07-07,calc,2026-09-05,calc,2026-09-12,,2026-06-30,,,false,,,1620.0000,true,,false,1620.00,30.00,0,70.00,486.00,0,1134.00,0.00,486.00,,,0,,,,,,,0.00,,,P55 air freight stock,2026-03-01,,2026-08-06,,30,on_shipment,,,,,,,,,,,,,,,,,,false,false,,,,true,,true,,false,,true,,false,,,,,,UK,M,UK,UK ILG,PO-55UKWK1-AIR,55,55.0326,false,false,0,1,1,2026-08-28,1754225,true,1,,,false,true,true,true,0.1,,,,,,,0,0,,,,,"[object Object],[object Object],[object Object]",194.40,362.88,20,2177.28
PO-55UKWK2,Weireken,PRODUCTION,in_progress,,2026-03-12,2026-06-30,M,2026-07-07,calc,2026-09-05,calc,2026-09-12,,2026-06-30,,2026-06-22,true,,,4617.0000,true,,false,4617.00,30.00,0,70.00,1385.10,0,3231.90,0.00,1385.10,,,0,,,,,,,0.00,2381.37,1.34260,includes XS Navy & WYWH defect stock,2026-03-12,,2026-08-06,,30,on_shipment,P55-UK-WK2,PO-55UKWK2,sea,FLEXPORT,FLEX-3994935,,,,,,,,,,,,,false,false,,,,true,,true,,false,,true,,false,,,,,,UK,M,UK,UK ILG,PO-55UKWK2,55,55.0326,false,false,0,5,5,2026-08-28,1642679,true,1,,,false,true,false,true,0.2,,,,,,,0,0,,,,,"[object Object],[object Object],[object Object]",554.04,1034.21,20,6205.25
PO-55UKWK2-AIR,Weireken,PRODUCTION,in_progress,,2026-03-01,2026-06-30,M,2026-07-07,calc,2026-09-05,calc,2026-09-12,,2026-06-30,,,false,,,2160.0000,true,,false,2160.00,30.00,0,70.00,648.00,0,1512.00,0.00,648.00,,,0,,,,,,,0.00,,,P55 air freight stock,2026-03-01,,2026-08-06,,30,on_shipment,,,,,,,,,,,,,,,,,,false,false,,,,true,,true,,false,,true,,false,,,,,,UK,M,UK,UK ILG,PO-55UKWK2-AIR,55,55.0326,false,false,0,1,1,2026-08-28,1754226,true,1,,,false,true,true,true,0.1,,,,,,,0,0,,,,,"[object Object],[object Object],[object Object]",259.20,483.84,20,2903.04
PO-55UKWK3,Weireken,PRODUCTION,in_progress,,2026-04-10,2026-06-30,M,2026-07-07,calc,2026-09-05,calc,2026-09-12,,2026-06-30,,,true,,,8028.0000,true,,false,8028.00,30.00,0,70.00,2408.40,0,5619.60,0.00,2408.40,,,0,,,,,,,0.00,2493.99,,Glow Getaway Stock to be sent to Lixin,2026-04-10,,2026-08-06,,30,on_shipment,P55-UK-WK4,PO-55UKWK3,fob,,FOB,,,,,,,,,,,,,false,false,,,,true,,true,,false,,true,,false,,,,,,UK,M,UK,UK ILG,PO-55UKWK3,55,55.041,false,false,0,5,5,2026-08-27,1685452,true,1,,,false,true,false,true,1.3,,,,,,,0,0,,,,,"[object Object],[object Object],[object Object]",963.36,1798.27,20,10789.63
PO-55UKWK4,Weireken,PRODUCTION,in_progress,,2026-04-24,2026-06-30,M,2026-07-07,calc,2026-07-07,calc,2026-07-14,,2026-06-30,,,false,,,,false,,false,0.00,0,0,100,0.00,,,0.00,0.00,,,0,,,,,,,0.00,2493.99,,"Glow Getaway Stock to be sent to Lixin

JL and NEXT",,,2026-07-07,,30,on_shipment,P55-UK-WK4,,,,,,,,,,,,,,,,,false,false,,,,true,,true,,false,,true,,false,,,,,,OT,M,OT,Direct to Client,PO-55UKWK4,55,55.041,false,false,0,0,0,,,false,0,,,true,false,false,true,,,,,,,,0,0,,,,,,0.00,0.00,,0.00
PO-55UKXR1-FBA,XR Textile,PRODUCTION,in_progress,,2026-03-01,2026-06-30,M,2026-06-06,FLEX,2026-07-27,FLEX,2026-08-03,,2026-06-30,,2026-06-22,true,,FLEX-3854784,51141.2800,true,51119.08,true,51119.08,30.00,20.00,50.00,29026.79,15335.72,6756.57,0.00,15335.72,29026.79,2026-06-15,-3467.25,15335.72,,,,,,-13691.07,0.02,1.33820,"DELAYED> Flexport. FBA15LNNKTYK - labels sent. Pallet labels still required

Direct to Amazon

Carton Labels Required

Max Pallet Height 1.8m",2026-03-01,,2026-09-18,2026-09-18,60,on_clearance,P54-UK-XR2,PO-55UKXR1-FBA,sea,FLEXPORT,FLEX-3854784,,,,,,,,,,,,,false,false,,,,true,,true,,false,,true,,false,,,,,,UK,M,UK,UK FBA,PO-55UKXR1-FBA,55,55.0326,false,false,0,64,64,2026-08-03,1632985,true,0,,,false,true,false,true,8.9,,,,,,,0,0,,4994.92,FLEX,4994.92,"[object Object],[object Object],[object Object]",6136.95,12450.19,20,74701.14
PO-55USBE1,Bright Eagle (Rebecca),PRODUCTION,in_progress,,2026-03-01,2026-06-30,M,2026-07-07,calc,2026-08-04,calc,2026-08-11,,2026-06-30,,2026-06-21,true,,,1568.0000,true,,false,1568.00,0.00,0.00,100.00,0.00,0,1568.00,0.00,0.00,,,0,,,,,,,0.00,,,,,,2026-07-07,,0,on_shipment,,PO-55USBE1,,,,,,,,,,,,,,,,false,false,,,,true,,true,,false,,true,,false,,,,,,US,M,US,US Geneva,PO-55USBE1,55,55.0326,false,false,0,4,4,2026-08-26,1633010,true,1,,,false,true,true,true,0.1,,,,,,,0,0,,,,,"[object Object],[object Object],[object Object]",141.12,0.00,0,1709.12
PO-55USLX-AW26-1,Lixin,PRODUCTION,in_progress,,2026-03-01,2026-06-30,M,2026-07-07,calc,2026-07-14,calc,2026-07-21,,2026-06-30,,,true,,,1379.1600,true,,false,1379.16,30.00,20.00,50.00,0.00,689.58,689.58,0.00,413.75,,,689.58,,,,,,,413.75,0.00,1.32010,US samples ship to ILG,2026-03-01,2026-06-30,2026-10-12,,90,on_clearance,P55-UK-LX1,PO-55USLX-AW26-1,air,DHL,AIR,SAMPLES,,,,,,,,,,,,false,false,,,,true,,true,,false,,true,,false,,,,,,US,M,US,US Geneva,PO-55USLX-AW26-1,55,55.0326,false,false,0,21,21,2026-07-22,1679073,true,0,,,true,true,true,true,0.2,,,,,,,0,0,,,,,"[object Object],[object Object],[object Object]",124.12,0.00,0,1503.28
PO-55USLX1,Lixin,PRODUCTION,in_progress,,2026-03-01,2026-06-30,M,2026-06-03,FLEX,2026-07-14,FLEX,2026-07-21,,2026-06-30,,2026-06-21,true,,FLEX-3854243,100120.4200,true,100120.42,true,100120.42,30.00,20.00,50.00,0.01,50060.20,50060.21,0.00,30036.13,0.01,2026-06-29,50060.20,50060.20,2026-06-29,,,,,30036.12,0.00,1.32010,booked 7th May. additonal 1 week to glow gift set. AW26,2026-03-01,2026-06-30,2026-10-12,,90,on_clearance,P55-UK-LX1,PO-55USLX1,sea,FLEXPORT,FLEX-3854243,,,,,,,,,,,,,false,false,,,,true,,true,,false,,true,,false,,,,,,US,M,US,US Geneva,PO-55USLX1,55,55.0326,false,false,26,97,97,2026-07-21,1633012,true,0,,,true,true,false,true,18.9,,,,,,,0,0,,7575.76,FLEX,7575.76,"[object Object],[object Object],[object Object]",9010.84,0.00,0,116707.02
PO-55USWK-AW26-1,Weireken,PRODUCTION,in_progress,,2026-03-01,2026-06-30,M,2026-07-07,calc,2026-08-04,calc,2026-08-11,,2026-06-30,,,false,,,91.6800,true,,false,91.68,0,0,100,0.00,0,91.68,0.00,0.00,,,0,,,,,,,0.00,18425.14,1.33517,,,,2026-07-07,,30,on_shipment,P55-UK-WK1,,,,,,,,,,,,,,,,,false,false,,,,true,,true,,false,,true,,false,,,,,,US,M,US,US Geneva,PO-55USWK-AW26-1,55,55.0326,false,false,2,0,2,,,false,0,,,false,true,true,true,0.0,,,,,,,0,0,,,,,"[object Object],[object Object],[object Object]",8.25,0.00,0,99.93
PO-55USWK1-AIR,Weireken,PRODUCTION,in_progress,,2026-03-01,2026-06-30,M,2026-07-07,calc,2026-08-04,calc,2026-08-11,,2026-06-30,,,false,,,540.0000,true,,false,540.00,30.00,0,70.00,162.00,0,378.00,0.00,162.00,,,0,,,,,,,0.00,,,P55 air freight stock,2026-03-01,,2026-08-06,,30,on_shipment,,,,,,,,,,,,,,,,,,false,false,,,,true,,true,,false,,true,,false,,,,,,US,M,US,US Geneva,PO-55USWK1-AIR,55,55.0326,false,false,0,1,1,2026-07-07,1754227,true,1,,,false,true,true,true,0.0,,,,,,,0,0,,,,,"[object Object],[object Object],[object Object]",48.60,0.00,0,588.60
PO-55USWK1-DD,Weireken,PRODUCTION,in_progress,,2026-03-01,2026-06-30,M,2026-07-07,calc,2026-08-04,calc,2026-08-11,,2026-06-30,,2026-06-21,true,,,8549.4800,true,,false,8549.48,30.00,0,70.00,2564.84,0,5984.64,0.00,2564.84,,,0,,,,,,,0.00,18425.14,1.33517,Mid May completion. Send to XR,2026-03-01,,2026-08-06,,30,on_shipment,P55-UK-WK1,PO-55USWK1-DD,sea,FLEXPORT,FLEX-3947345,,,,,,,,,,,,,false,false,,,,true,,true,,false,,true,,false,,,,,,US,M,US,US Geneva,PO-55USWK1,55,55.0326,false,false,0,12,12,2026-08-11,1802434,true,0,,,false,true,false,true,1.3,,,,,,,0,0,,,,,"[object Object],[object Object],[object Object]",769.45,0.00,0,9318.93
PO-55USWK2,Weireken,PRODUCTION,in_progress,Planned,2026-03-12,2026-07-08,M,2026-07-07,S,2026-08-04,S,2026-08-11,PO-55USWK1-DD,2026-07-08,,2026-07-02,false,,,2159.8800,true,,false,2159.88,30.00,0,70.00,647.96,0,1511.92,0.00,647.96,647.96,2026-07-23,0,,,,,,,0.00,2381.37,1.34260,Mid May completion.,2026-03-12,,2026-08-14,,30,on_shipment,P55-UK-WK2,PO-55USWK1-DD,sea,FLEXPORT,FLEX-3947345,,,,,,,,,,,,,false,false,,,,true,,true,,false,,true,,false,,,,,,US,M,US,US Geneva,PO-55USWK2,55,55.0326,false,false,1,3,4,2026-07-15,1642680,true,1,,,false,false,false,true,0.1,,,,,,,0,0,,,,,"[object Object],[object Object],[object Object]",194.39,0.00,0,2354.27
PO-55USWK2-AIR,Weireken,PRODUCTION,in_progress,,2026-03-01,2026-06-30,M,2026-07-07,calc,2026-08-04,calc,2026-08-11,,2026-06-30,,,false,,,540.0000,true,,false,540.00,30.00,0,70.00,162.00,0,378.00,0.00,162.00,,,0,,,,,,,0.00,,,P55 air freight stock,2026-03-01,,2026-08-06,,30,on_shipment,,,,,,,,,,,,,,,,,,false,false,,,,true,,true,,false,,true,,false,,,,,,US,M,US,US Geneva,PO-55USWK2-AIR,55,55.0326,false,false,0,1,1,2026-08-27,1754228,true,1,,,false,true,true,true,0.0,,,,,,,0,0,,,,,"[object Object],[object Object],[object Object]",48.60,0.00,0,588.60
PO-55USWK3,Weireken,PRODUCTION,in_progress,,2026-04-10,2026-06-30,M,2026-07-07,calc,2026-08-04,calc,2026-08-11,,2026-06-30,,,false,,,2676.0000,true,,false,2676.00,30.00,0,70.00,802.80,0,1873.20,0.00,802.80,,,0,,,,,,,0.00,11503.80,1.35250,Glow Getaway Stock to be sent to Lixin,2026-04-10,,2026-08-06,,30,on_shipment,P55-UK-WK3,,,,,,,,,,,,,,,,,false,false,,,,true,,true,,false,,true,,false,,,,,,US,M,US,US Geneva,PO-55USWK3,55,55.041,false,false,0,5,5,2026-08-26,1685454,true,1,,,false,true,false,true,0.4,,,,,,,0,0,,,,,"[object Object],[object Object],[object Object]",240.84,0.00,0,2916.84
PO-55USWK4,Weireken,PRODUCTION,in_progress,Planned,2026-04-24,2026-06-30,M,2026-07-07,calc,2026-07-07,calc,2026-07-14,,2026-06-30,,,true,,,,false,,false,0.00,0,0,100,0.00,,,0.00,0.00,,,0,,,,,,,0.00,2493.99,,Dillards forecast - Glow Getaway Stock to be sent to Lixin,,,2026-07-07,,30,on_shipment,P55-UK-WK4,PO-55USWK4,,,,,,,,,,,,,,,,false,false,,,,true,,true,,false,,true,,false,,,,,,OT,M,OT,Direct to Client,PO-55USWK4,55,55.041,false,false,0,0,0,,,false,0,,,true,false,false,true,,,,,,,,0,0,,,,,,0.00,0.00,,0.00
PO-55USXR2,XR Textile,PRODUCTION,in_progress,,2026-03-12,2026-06-30,M,2026-07-07,calc,2026-08-04,calc,2026-08-11,,2026-06-30,,2026-07-02,true,,,8084.3000,true,,false,8084.30,30.00,20.00,50.00,2425.29,1616.86,4042.15,0.00,2425.29,,,1616.86,,,,,,,0.00,15913.53,1.34240,,2026-03-12,2026-06-30,2026-10-03,,60,on_clearance,P55-UK-XR2,PO-55USXR2,,,,,,,,,,,,,,,,false,false,,,,true,,true,,false,,true,,false,,,,,,US,M,US,US Geneva,PO-55USXR2,55,55.0326,false,false,0,29,29,2026-08-26,1642657,true,1,,,false,true,true,true,1.5,,,,,,,0,0,,,,,"[object Object],[object Object],[object Object]",727.59,0.00,0,8811.89
PO-56AUJM1,Jinma (Merry),PRODUCTION,in_progress,,2026-04-24,2026-06-30,M,2026-07-07,calc,2026-08-04,calc,2026-08-11,,2026-06-30,,,false,,,6640.0000,true,,false,6640.00,0.00,0.00,100.00,0.00,0,6640.00,0.00,0.00,,,0,,,,,,,0.00,,,,,,2026-09-05,,60,on_shipment,,,,,,,,,,,,,,,,,,false,false,,,,true,,true,,false,,true,,false,,,,,,AU,M,AU,AU Coghlans,PO-56AUJM1,56,56.0526,true,false,0,9,9,2026-08-11,1690839,true,0,,,false,true,false,true,0.9,,,,,,,0,0,,,,,"[object Object],[object Object],[object Object]",332.00,697.20,10,7669.20
PO-56AULX1,Lixin,PRODUCTION,in_progress,,2026-04-24,2026-06-30,M,2026-07-07,calc,2026-08-04,calc,2026-08-11,,2026-06-30,,,false,,,77035.5800,true,,false,77035.58,30.00,20.00,50.00,20083.72,18434.07,38517.79,0.00,23110.67,,,18434.07,,,,,,,3026.95,20083.72,,,2026-04-24,2026-06-30,2026-11-02,,90,on_clearance,P56-AU-LX1,,,,,,,,,,,,,,,,,false,false,,,,true,,true,,false,,true,,false,,,,,,AU,M,AU,AU Coghlans,PO-56AULX1,56,56.0526,true,false,0,101,101,2026-08-10,1690840,true,0,,,false,true,true,true,14.9,,,,,,,0,0,,,,,"[object Object],[object Object],[object Object]",3851.78,8088.74,10,88976.09
PO-56AULX2-BUNDLE,Lixin,PRODUCTION,in_progress,,2026-06-02,2026-08-01,M,2026-08-08,calc,2026-09-05,calc,2026-09-12,,2026-08-01,,,false,,,16628.5000,true,,false,16628.50,30.00,20.00,50.00,4988.55,3325.70,8314.25,0.00,4988.55,,,3325.70,,,,,,,0.00,20083.72,,Glow Getaway Stock,2026-06-02,2026-08-01,2026-12-04,,90,on_clearance,P56-AU-LX1,,,,,,,,,,,,,,,,,false,false,,,,true,,true,,false,,true,,false,,,,,,AU,M,AU,AU Coghlans,PO-56AULX2-BUNDLE,56,56.0526,true,false,4,0,4,,,false,0,,,false,true,false,true,1.0,,,,,,,0,0,,,,,"[object Object],[object Object],[object Object]",831.43,1745.99,10,19205.92
PO-56AUMQ1,MQ Print (Sherry),PRODUCTION,in_progress,,2026-04-24,2026-06-30,M,2026-07-07,calc,2026-08-04,calc,2026-08-11,,2026-06-30,,,false,,,1957.0600,true,,false,1957.06,50.00,0,50.00,978.53,0,978.53,0.00,978.53,,,0,,,,,,,0.00,,,,2026-04-24,,2026-07-07,,0,on_shipment,,,,,,,,,,,,,,,,,,false,false,,,,true,,true,,false,,true,,false,,,,,,AU,M,AU,AU Coghlans,PO-56AUMQ1,56,56.0526,true,false,0,5,5,2026-08-11,1690841,true,0,,,false,true,true,true,1.6,,,,,,,0,0,,,,,"[object Object],[object Object],[object Object]",0.00,195.71,10,2152.77
